ME0	ME1	ME2	ME3	ME4	ME5	ME6	ME7	ME8	ME9	ME10	ME11	ME12	ME13	ME14	ME15	ME16	ME17	ME18	ME19	ME20	ME21	ME22	ME23	ME24	ME25	ME26	ME27	ME28	ME29	ME30	ME31	ME32	ME33	ME34	ME35	ME36	ME37	ME38	ME39	ME40	ME41	ME42	ME43	ME44	ME45	ME46	ME47	ME48	ME49	ME50	ME51	ME52	ME53	ME54	ME55	ME56	ME57	ME58	ME59	ME60	ME61	ME62	ME63	ME64	ME65	ME66	ME67	ME68	ME69	ME70	ME71	ME72	ME73	ME74	ME75	ME76	ME77	ME78	ME79	ME80	ME81	ME82	ME83	ME84	ME85	ME86	ME87	ME88	ME89	ME90	ME91	ME92	ME93	ME94	ME95	ME96	ME97	ME98	ME99	ME100	ME101	ME102	ME103	ME104
ctl_4	-0.190496413293172	-0.0198710901584594	0.149966726206889	-0.0657651106602114	-0.0720022836871548	-0.0127679585572581	-0.101146493347836	-0.115206457709212	0.0071850615524624	-0.0389359944910685	-0.01625640154465	-0.0487374384801333	-0.0316836530866083	0.194478379041522	0.185601262478405	-0.0203136304440557	-0.0605282825627121	-0.0243239676694239	-0.00867278029083168	-0.116651543675964	0.000457728429481017	-0.0408019472943427	-0.137676174642039	-0.158713479081752	0.199437486791105	-0.0241661657400185	-0.0323186686445724	-0.0484462213871536	0.0677522398504697	-0.0962515892106904	-0.12501455000771	0.0842972672650006	-0.0223696868431238	0.157455205378736	-0.119931372224965	-0.0467668607481973	-0.0314512875945616	-0.0739488456880216	-0.00394967905155028	0.0902112824301094	0.090868419214267	-0.0497227892514018	0.218489892571607	-0.0258551659592523	-0.0763589402010365	-0.0115395536734768	0.00112801116065712	0.166406001691685	-0.047003887933941	-0.0481196936427921	0.0739790503245543	0.0200801574456378	-0.141210053917485	-0.0635411224254215	-0.035152313120139	-0.03442682567722	-0.0527416048948783	-0.0346724449266957	-0.0356843983851957	-0.000752844951424692	-0.0462487568481965	-0.0235963240333532	-0.057983786455984	-0.144592866440193	-0.0256802064005148	-0.0986679963863523	-0.0561720083778015	-0.109057290382304	-0.025839218704711	0.111618808022123	0.0883051459385479	0.0849104487304235	-0.0632423026507347	0.0551629737248508	0.105500134223341	0.130137843037983	0.032012839048157	-0.00557798386107949	0.0435635458269156	0.145950195985571	-0.041134450785683	0.018978688604046	0.0871137747559064	-0.162541994834997	-0.0306243926106095	-0.0459515510209407	0.0697672358341905	0.157427407886041	0.101795827767168	0.224641150966122	-0.0303076117672156	-0.0673207502687781	-0.0473913232847267	0.0561929721248508	-0.0793415116002359	0.0313796982808121	-0.0333626283468515	-0.12859188486088	0.0224847872677996	0.151295935377853	0.0743326572612672	-0.0418450469298752	0.05441509258339	-0.0331168312183439	-0.0215930015770614
ctl_5	-0.0774287605048423	-0.0367458177301199	0.0294454160587952	-0.0724731992574378	-0.0553670884823827	-0.03576644189789	-0.0734883545763211	-0.0649766736861395	0.021073300126475	-0.0145581352348548	-0.0200807286264963	-0.0184288897488968	-0.0300345605751009	0.0798498061127625	0.128174279531873	-0.04425359849943	-0.0334053523628755	-0.0376320009742577	-0.0662115800050478	0.00340192329275646	0.0302509900869091	-0.0364017787505968	-0.0750111248727988	-0.118642244154703	0.0386947665264201	-0.110477286146231	0.011255713551593	0.0266577871910596	0.108330208890659	-0.0794119645653796	-0.0471889251423186	0.0652386593356922	0.0360250202088274	0.0738696836808704	-0.0840368317149726	-0.0437303814790369	-0.034545386922785	-0.0482394799373815	0.0531992505481053	0.0715882212857616	0.0233526297888463	-0.0399532350242798	0.137883930295834	-0.0292635911839834	-0.0232393071136247	0.042903274575354	-0.0165389651243058	-0.0357781780891814	-0.0438396237029391	-0.0409153111864794	-0.00092927540966814	0.00876989499859393	-0.0848694999902304	-0.10322797028641	-0.0160930510564713	-0.0289557540424439	-0.0968357313937738	-0.0900181417605349	-0.0266785549941677	0.0296282263416536	-0.0134229601322445	-0.00947282839197217	-0.0505873075027543	-0.0338165431120157	-0.0175143983903736	-0.07167556549747	-0.0372736481898218	-0.106020965856493	-0.0713695591335758	-0.0518992723432916	-0.00290355173476342	0.0463909951354194	-0.0511631236870617	0.0448380281922698	-0.0377034359012193	0.0394813578586338	0.0321003642774511	-0.0332574100437181	-0.055080994313513	0.15556237731332	-0.0142648544801071	-0.0041338176634886	-0.0211274120328443	-0.108028623205497	-0.0356629522495525	-0.0315586723514622	-0.0406066529006605	0.122716732438798	0.0176826452580224	0.0633388925178223	-0.0206969907560631	-0.0546941977942189	-0.0902394295227736	0.101619662304512	0.00149975869112857	0.0748575990190594	0.0266827260570232	-0.0821221077902246	-0.0233396002213425	0.131227713458663	-0.0565850784649111	-0.0383537617782638	0.0579080111663249	-0.0288544123300789	-0.0339067161564278
ctl_6	-0.173729183418825	0.00477624062011706	0.291132951739345	-0.0310737510412399	-0.0135141102768693	-0.010310308065658	0.0309997681587114	-0.11395136889637	0.0128913874935515	-0.0262901289671513	-0.041199714720453	0.0659063583518399	-0.0229869606260797	0.0538340272885631	-0.0549363828552	-0.0699685658840503	0.0240144098062149	-0.0365115345952773	0.173208104494668	-0.306851246333136	-0.0194103250837981	-0.0255725686968263	-0.145544392250008	0.0950229695860851	0.0196789374242064	0.571153583353169	-0.273040036769881	-0.07517505578794	-0.353795382539253	-0.0859407576677173	-0.146208587912304	0.0259258180722537	-0.0140665230636457	-0.0437044014817499	-0.0396943722676204	-0.0244605529842529	-0.0425549892400341	-0.0396181451916455	-0.150067109660203	-0.0244100794395889	-0.0919334155244131	-0.0288726831982915	-0.226280846722957	-0.0504640679825488	-0.0847845260293464	-0.0677280888497397	-0.0521764449506164	0.489955062655237	-0.0265593447497131	-0.00481092332484237	0.0941704651390037	0.0283342438380825	0.243532197543179	0.219571180890825	-0.0339638309379137	-0.0539694755849926	0.287990774034187	0.42354421022116	-0.0293456035910359	-0.0300343287043228	-0.101378376485091	-0.212147648577923	-0.0634351926882747	-0.260948181264053	-0.0469496524774297	-0.0105930592761941	-0.0683303811129577	0.181095630316322	0.142497262817258	0.360515533781423	0.500127033681736	-0.257919866984696	0.00197992503579429	-0.00969209755491284	0.212029389202782	0.275255024080752	-0.167435102337801	-0.082327426257171	0.500228029064805	-0.130806671528967	-0.0522074925568621	-0.014028098457582	0.0398374762253188	0.0368617289008221	-0.0485210617482629	-0.0940893152387212	0.208916257103394	-0.285462775986341	0.0797382257674502	-0.160101831579402	0.030153450947541	-0.0365299213248711	-0.0234016601949528	-0.166608537871876	0.0137373711123415	0.0107854361673119	0.0320708047881517	-0.0124616332624678	-0.0477108718072608	-0.278940020461741	0.259371281873225	-0.0368818766994933	0.0338117853192107	-0.0393234681120481	0.021776382792235
ctl_7	-0.0871009494296259	-0.0261267528978958	0.0760536766160102	-0.0674306912217746	-0.0252737513981871	-0.0304962550075344	-0.0166687210329759	-0.0584852101618781	0.0391956519539547	-0.0339452948541595	-0.0356213352438986	0.0357680429260162	-0.0294191301714378	0.0151742925161468	0.0522398056289212	-0.0761501015193612	0.0237267353589151	-0.0114969642887535	-0.00118229389279608	-0.0985931359404331	-0.0255567111858317	-0.0277898688310838	-0.0900940953946764	-0.0282075470772214	0.0772699851909117	0.00222307511914608	-0.0872407652819754	-0.0712885453949185	-0.0419694413427419	-0.0888509542263843	-0.0543066052711622	0.0281528393187345	-0.0695833008244445	0.0475059568913454	-0.0440376732347331	-0.0356505540390836	-0.0357194936867066	-0.026022505692724	0.0489569631803403	0.0444873756963608	0.0452354229100815	-0.0318566671003176	0.0176735810092642	-0.0209451123925283	-0.0674206733375433	-0.0617291616745544	-0.0292784289545551	0.0654609207501898	-0.0406430616411269	-0.0404845993386336	0.104732621273921	0.0547511256976176	0.0699007546945959	-0.0519268478447772	-0.00393361674128013	-0.0398739208056397	-0.0489840310544618	-0.013936703576708	-0.0462657343064369	-0.0217046671919695	-0.0418523745591173	-0.081547004126367	-0.052350773977689	-0.0908744988341681	-0.00275615811022838	-0.051377325246838	-0.0509494971001022	0.179421586343672	-0.0109888471656944	0.0209983560208443	0.0722941034400627	-0.0351450240649589	-0.0203982419840624	0.00080404044546257	0.0207852058993967	0.0320857920345012	-0.0367735771745493	-0.0410007269586727	0.0602686529274888	0.0310299434742382	-0.0344230587593436	0.0238989375823429	-0.0534709084247174	-0.00397035761226007	-0.036332825185554	-0.0259433676820166	0.083565447508872	-0.0346583494649922	0.26756517541517	0.0199491081490875	-0.0109336053284931	-0.0167457564493342	-0.0773761656425828	-0.00225399465206988	0.0246893551030048	-0.126091124731696	0.0394317016227538	-0.0670169352044552	0.0193204687737629	-0.0529240697798336	-0.0393166493654948	-0.0331101321326956	-0.0123648349090586	-0.0321820783944116	-0.0134216187741484
ctl_8	-0.0866710857116304	-0.0244668811537249	0.0394139233739412	-0.0391785835199051	-0.0410179881959959	-0.0324237020908925	-0.00783682632531809	-0.0892824504183479	0.00434970763450936	0.00193285460018553	-0.0261614772094478	-0.0641309731110178	-0.0378958492144128	0.0134887717065167	-0.0296194496332799	-0.0372714778308438	-0.0638481705651607	-0.045402467370063	0.0556372584012478	-0.118524774610362	-0.00240714265489959	-0.0360599756299348	-0.106270117083151	0.00953193090069083	0.0149259264292832	0.165227341008679	-0.111002828710408	0.0175830776027361	-0.103735647463309	-0.071550294578627	-0.0852257617338564	-0.0251033363335736	-0.00676605702472521	0.0451396756265823	-0.0798662021386728	-0.0431402440974159	-0.045326753271025	-0.0477777576755811	-0.043014989400136	0.104514057807035	-0.0442438970962012	-0.0303011911768969	-0.0512501844254194	-0.051637815312722	-0.0291659310052615	0.0204316915590837	-0.0496130622599757	0.0688136881258118	-0.0289755057889032	-0.0121682883452748	0.185986667224341	0.0826263241194171	0.0975056496918845	0.0588779581438144	-0.0137198676006284	-0.0441724886450579	0.0716489708162117	0.18617501031143	-0.04853247888558	-0.0218011233842818	-0.0623335367414755	-0.0833654935543996	-0.0611210284505945	-0.0743200730637377	-0.0397595522993635	-0.0483435595554597	-0.0634072229507336	0.191430848554585	0.0214432334956144	0.0566998618176538	0.115288068122772	-0.0728293059225532	-0.0216049087637287	0.206593509457962	0.0862545459773612	0.121179806084771	-0.0668651193463134	-0.0821865030400746	0.195165957577569	-0.00831750952398995	-0.0312831458394902	-0.0101559164137999	0.0406128586281056	0.0124770042063585	-0.0434604179652251	-0.051543504463219	0.18992925183906	-0.0632677736354837	0.191792548068449	-0.0340980386991586	-0.0164565939659621	-0.0372481740855309	-0.0438407612602907	0.0583000377077952	-0.00490317057932666	0.0712677379432125	-0.0553072325639287	-0.065815659534209	-0.0296303445499624	-0.064950931127932	0.0453005029491288	-0.0119246574196019	0.036164492832065	-0.0314751719680279	-0.0109659995700485
ctl_9	-0.153719821572081	-0.0336826871175646	0.122753504568057	-0.0538956687564969	-0.0633074137870626	-0.0224755096235	-0.0720128849427278	-0.107521998969342	0.0992927091811893	0.00241078138718291	-0.0132052604227253	-0.0385502463890877	-0.0274308445018454	0.184630486042886	0.0805357326643898	-0.0164087072686041	-0.0456655983744045	-0.0384204562953226	-0.0825493704219432	-0.103034055514667	-0.00791707460055496	-0.0389248632125612	-0.130513761929889	-0.118339389913586	0.0737180465159506	-0.0594647491677013	-0.0357166583806455	-0.0496502039987405	0.0351131370481156	-0.0960802630810982	-0.0964527705251023	0.152415163453652	-0.0344633742196467	0.132440844055138	-0.108832319875014	-0.0451560815379745	-0.027369215260436	-0.0612256123677851	-0.015393638196764	0.052609794286721	-0.0122766298571352	-0.0380328607244258	0.127206655604853	-0.0346210664435006	-0.0703093483291867	-0.0235207928132967	-0.022230529903931	0.0306746966525906	-0.0469156981579963	-0.0412097029031509	0.0830178182631206	0.0755300052428111	-0.0777442843825114	-0.0747398787307054	-0.0254861948656832	-0.0366053070939543	-0.0736812543742652	0.00635276844234618	-0.0372760914560435	0.0500608975982065	-0.0475039617045047	-0.0417582610125713	-0.0647647182192278	-0.0874213499257855	-0.0339912896647281	-0.0873679868753573	-0.0829666193951466	-0.0369676149825699	-0.0412357929535894	0.0566682077261502	0.066282502973443	0.0674468984581788	-0.0590460289006078	0.0630671658266404	0.121439212705267	0.166234999898958	0.0897842470980109	-0.0532114699855645	0.0462659986322448	0.23157036920297	-0.0465090036667303	0.191274150243758	0.00276312253785512	-0.125060952678446	-0.0317253765613642	-0.037944412080353	0.065418502692412	0.109658471995004	0.144128114998993	0.149411221407014	-0.000402777998984449	-0.057709098015875	-0.0639558888661609	0.092397798314594	0.0200386759985854	0.0360811364390954	-0.0492089873438868	-0.116960738915305	0.0575098151546434	0.0508483207538287	-0.00638735481501506	-0.0321858962462645	0.178865433842155	-0.0298420090188071	0.00863679285463343
ctl_10	-0.0556048949666763	-0.0237322275282821	-0.0158621689123076	-0.0384154739279569	-0.0529171358075418	-0.0259120406930919	-0.0648769352539753	-0.0674384801071531	-0.0102623437467313	-0.0166132884357528	-0.0174515222249482	-0.0686201512883691	-0.0345268844187893	0.0336340853785799	0.0131033106507651	-0.00341829134356776	-0.071758328543014	-0.0164347846541377	0.00508288661741172	-0.0602373249240692	-0.00691779444818344	-0.0305459057332008	-0.0888941633072755	-0.0850031114521261	0.0682709485033446	-0.0503141772002371	-0.0152566909122294	0.000701166611369511	0.0410756050672546	-0.0550494674697422	-0.0722583970127556	-0.00829861568998545	0.0581985459850737	0.0554580308059678	-0.0729615937898624	-0.0320064695667581	-0.0365028704440008	-0.0472000542824574	-0.0209244748581524	0.156053887414532	0.0871848379625946	-0.0453276122497699	0.0673341077982969	-0.0242092634603987	0.0654552241150732	0.0728424044756362	-0.0271750783912823	0.00645560848330231	-0.0352417372496897	-0.0391826738516162	0.0791595882848692	0.0316814255563268	-0.0752321687299155	-0.0516570281179948	-0.00892922265937556	-0.0202783899696445	-0.0479554264191755	-0.0321461153609821	-0.0312420278275211	-0.000756935900852636	-0.0309175371251115	-0.00929322610052172	-0.060019507238501	-0.0652198945938792	-0.0163931364964373	-0.0669818589496903	-0.0315123545451428	-0.0477795902134122	-0.046394848416729	-0.0100331865236644	-0.0410620626699621	0.0335639847982315	-0.0504155263589175	0.103891811028739	0.0508049483262601	0.00356080646021702	0.00509170809797894	0.0026447983018081	-0.00755970243514778	0.0215357668836578	-0.0281038676640984	0.0274660767129007	0.237589270108528	-0.0888517515467639	-0.04782316457063	-0.0114668756922913	0.0338968650853032	0.0896054334699737	-0.0233649092228599	0.132599390031599	-0.0429045751776317	-0.019879370861294	-0.0451254350434715	0.193968140474793	-0.081856036738626	0.0774342977870119	-0.0491994433327166	-0.0764448475670798	0.0551007644449961	0.0903930219449137	-0.00111651623522703	-0.0315821040809582	0.0134762947680584	-0.0254794103494903	-0.0122017727767057
ctl_11	-0.0539457185742502	-0.0299181026539904	0.0727100845960106	-0.0770748087415466	-0.0224727155198332	-0.0375684667872503	-0.0271764417340634	-0.0678638869325982	-0.0192642713559278	-0.0428957614382162	-0.0346403692252837	0.102577638093421	-0.0328291754375588	0.0173348495875348	0.0344640532140591	-0.0785311956797084	0.0784685234587826	-0.033530061786397	-0.0560363927500458	-0.0875276905684449	0.000707308881011176	-0.029519910987852	-0.051253163348596	-0.0430866290451059	0.0962287966221777	-0.016844003984851	-0.0826073410258958	-0.0526295623701542	-0.0394350572685712	-0.0799214573766401	-0.0258442904597504	0.0153657484555838	-0.0839198056594904	0.0272679653076887	-0.0488558229996138	-0.0208056297308689	-0.0316880826679521	-0.031123447189189	0.0869254346258665	-0.0162638079397555	0.036084424559348	-0.0303679736210781	0.0322410553694564	-0.037313238658051	-0.0759872136358439	-0.0807570798049165	-0.0307234536859928	0.0762904730614764	-0.0345320397755635	-0.0309180896937525	0.0204731753424502	-0.00793886798845075	0.0598188777177486	-0.0747446944817619	0.0054404125318114	-0.0384417298163796	-0.0632877482216473	-0.032419900794652	-0.0290385350503197	-0.0203953589472512	-0.038312026088541	-0.0713452442298227	-0.0493704514533859	-0.0743948513079569	-0.0210820326943364	-0.047489207454102	-0.0477118963203936	0.00271507511182939	-0.0315993334120299	0.0122390225373006	0.0471883680930976	-0.0195667614054143	-0.0274750676574018	-0.0177244501766962	-0.0222737877327258	0.022388357877397	-0.0473256379211214	-0.0440847616360424	0.0308104002107546	0.0675654999542196	-0.0298349814254828	-0.0386252529877101	-0.0617714481024288	-0.0101997667386808	-0.042899109499719	-0.0418851749726926	0.0149996462855768	-0.0296750351120804	0.126753302999424	0.00315928389750526	-0.0310111337088206	-0.046751216240309	-0.0874192534995156	-0.0518697691300137	-0.0416201329047807	0.0647079074594781	0.128388848499896	-0.0455713800737143	-0.0362515531784606	-0.0618553116799265	-0.0428830761112601	-0.0361154862958278	0.0386577654147733	-0.0374211928990364	-0.033905826105865
ctl_12	-0.0785489529783801	-0.0321502628422497	0.0276013477543146	-0.0573559013557287	-0.0408823135824538	-0.035016683886717	-0.0407976526010037	-0.0798364132755076	-0.0174257310523933	-0.00584866699416865	-0.018738156448125	-0.0129182047173281	-0.0245137553177694	0.0788470951159264	0.0347771779610602	-0.038050258491006	-0.0190015045299902	-0.0332927726724996	-0.0603737933332842	-0.0884449820303491	0.000477435585689311	-0.032893496825297	-0.069384653195178	-0.0593457756184321	0.00102608803372386	-0.0418029787823138	-0.0557082088286226	0.0231881975043876	-0.0275112463877321	-0.0714340701909511	-0.0540350537093398	0.00979723991009666	-0.00157850736567457	0.0491723918092184	-0.0610904938901923	-0.0351753258817395	-0.0413517589249938	-0.0449891141309213	0.0219583400631942	0.0673386111244947	-0.0207198098747775	-0.0305818089413159	0.0215763030714584	-0.0341005607097614	-0.0323405391431282	0.0186451477745411	-0.0215278110230662	-0.0246442520517861	-0.0378813090850513	-0.0199114689295969	0.0525300296759573	0.0258404344395122	-0.00120416574736913	-0.060204069586159	-0.0176248087191174	-0.0331962453831795	-0.059413837942566	-0.0211480928823863	-0.0320672994407531	-0.0185300796502787	-0.0372033325829378	-0.0401932468484331	-0.0544721937473644	-0.0491639524925302	-0.0352060755899207	-0.0555767643058061	-0.0575657130562227	-0.0468207135698071	-0.0420286925963566	-0.0140042881910422	0.0151762696884188	-0.0115463149256914	-0.0390998137733123	0.071227057791414	0.00764827049644124	0.0454764918363059	-0.0205630305925207	-0.0565581078922352	0.00401797813923702	0.0614549089670966	-0.0151892112304537	-0.0137909402715617	-0.0312069324546713	-0.0388962974710719	-0.0403607778559213	-0.0444719714934157	-0.0109042747987401	0.0150880323661479	0.0713297687043931	0.0296835964468548	-0.0367391974871571	-0.0518243546054052	-0.0695286010820598	0.0471123070478077	-0.0312275840946795	0.0595416838436115	-0.00491149111098815	-0.0491239229614723	0.000264091957897044	-0.0242814104335584	-0.0356111509865504	-0.0286157494027564	0.100557767923126	-0.0264903164748153	-0.0131591778584011
ctl_13	-0.165024439860958	-0.0410708606609467	0.107642089107278	-0.0652452813640828	-0.0585917551953756	-0.0247648140873876	-0.0638944654827324	-0.087527781886154	0.411576526319428	0.0306762861950118	0.0116669784422533	0.030367998367887	-0.0229061637522855	0.159937372869509	0.0870401136683039	0.0103631660313532	0.00257255346908055	-0.0247166477363184	-0.0390853614674026	-0.152817574636602	0.0416316602701451	-0.0288410087517238	-0.139693161575132	-0.119222086677444	0.0555868904490685	-0.0774051060642654	-0.0638824609560704	-0.0333320577393332	-0.0047427591894784	-0.103023811535373	-0.111985917301922	0.619208253342691	-0.0604590624083186	0.138605989361885	-0.132184777701798	-0.0257952458253938	-0.0133749677287332	-0.0538770126596749	-0.0772803477228153	-0.00969899544170713	-0.0598261359915982	-0.0331565581065826	0.0675539689064816	-0.0314284477232695	-0.0604840348513392	-0.0164682916650668	-0.0102369144621086	0.00838553691333529	-0.0382132648795312	-0.0209128175326898	0.0448314909548414	0.0753954428956108	-0.0786815892067106	-0.0820548826767518	-0.017255256640164	-0.00998323379173164	-0.0679709332978314	-0.0146344355009299	-0.020157666621401	0.236926503599863	-0.043934439821672	-0.0568374278993352	-0.0630066416435397	-0.117888284783871	0.00143075616944776	-0.0991657054946637	-0.0817278911617346	-0.0496220354004506	-0.0505430395524297	0.0373125704570902	0.0436888615808709	0.0448040738679747	-0.056076756079445	-0.000172301864607333	0.148907204557286	0.187594320349352	0.439220982229954	-0.0486772315085657	0.0763383001390335	0.238054175509284	-0.0429049106586121	0.263524797360195	-0.0330621279422353	-0.109459030286538	-0.023849658582749	-0.0420981912700398	0.0396380101273101	0.0542684640374246	0.107295960613303	0.0923966594053524	0.0384853921980501	-0.0756462059296692	-0.0568636381654364	-0.0213357337305127	0.164209716851921	0.0678669950917077	0.00768836231163483	-0.118021926039894	0.0310785655677231	-0.0774798242525612	-0.0469771004849655	-0.0290730039736716	0.18498102056893	-0.0271934950009982	0.00138625052398773
