age	treat_Ctrl	treat_Treat	group_ctrl	group_treat	gender_man	gender_woman	smoking_current	smoking_ever	smoking_never	stage_1A	stage_1B	stage_2A	stage_2B	stage_3A	stage_3B	stage_4
ctl_4	68	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0
ctl_5	79	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
ctl_6	58	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
ctl_7	71	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0
ctl_8	69	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0
ctl_9	69	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
ctl_10	65	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
ctl_11	62	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
ctl_12	79	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
ctl_13	73	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0
ctl_14	67	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0
ctl_15	73	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
ctl_16	76	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0
ctl_17	62	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
ctl_18	58	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
ctl_20	67	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_21	62	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_22	70	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0
ctl_23	78	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0
ctl_24	70	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_25	65	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
ctl_26	63	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0
ctl_27	59	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0
ctl_28	66	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_30	64	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
ctl_32	45	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_33	82	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1
ctl_34	74	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_35	69	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0
ctl_36	65	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0
ctl_37	58	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0
ctl_38	47	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
ctl_39	55	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0
ctl_40	62	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0
ctl_41	68	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_43	72	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0
ctl_44	66	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0
ctl_45	75	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0
ctl_46	48	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_47	66	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0
ctl_48	64	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
ctl_49	64	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
ctl_50	82	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0
tum_5	79	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0
tum_8	69	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0
tum_9	69	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1
tum_12	79	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0
tum_14	67	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0
tum_15	73	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
tum_17	62	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
tum_18	58	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0
tum_19	52	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0
tum_21	62	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0
tum_22	70	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0
tum_24	70	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0
tum_26	63	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0
tum_27	59	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
tum_28	66	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0
tum_32	45	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0
tum_33	82	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1
tum_34	74	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0
tum_35	69	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0
tum_36	65	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0
tum_37	58	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0
tum_38	47	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0
tum_40	62	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0
tum_41	68	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0
tum_43	72	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0
tum_44	66	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0
tum_45	75	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0
tum_46	48	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0
tum_47	66	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0
tum_48	64	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0
tum_49	64	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0
tum_50	82	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
