A	B	correlation	p-value
smoking_ever	smoking_ever	1	0
ME95	smoking_ever	0.412516347757925	0.000235344559731828
gender_man	smoking_ever	0.49966024500216	5.02415862091061e-06
ME49	smoking_ever	0.112809663663067	0.335230514445898
stage_2B	smoking_ever	0.257807877842046	0.0255439436086384
stage_2A	smoking_ever	-0.188460745359173	0.10539328197466
ME53	smoking_ever	0.0971468198433166	0.407020020484058
ME56	smoking_ever	0.0954637459457609	0.415234054550785
ME25	smoking_ever	0.169158063888006	0.146828662445685
ME57	smoking_ever	0.323056239422103	0.00469886127916749
ME69	smoking_ever	0.159916773320375	0.170531840144651
ME74	smoking_ever	0.311034896042341	0.00660513554311369
ME5	smoking_ever	-0.0516041864965691	0.660159960163526
ME68	smoking_ever	-0.0638709389245026	0.586163191792149
ME100	smoking_ever	0.068737031564653	0.55789191415809
ME21	smoking_ever	0.0949021010567931	0.417996288317542
ME103	smoking_ever	0.196092344008065	0.0917767349882418
ME76	smoking_ever	0.0159938393405623	0.891668729182929
ME104	smoking_ever	0.151210475969771	0.195324716019563
ME10	smoking_ever	0.160325922803301	0.16942634959973
ME15	smoking_ever	0.105140086067064	0.369325180643402
ME101	smoking_ever	-0.0229762555161215	0.844873203471582
smoking_current	smoking_ever	-0.329174692619086	0.0039304985344621
stage_3A	smoking_ever	0.0276084032506732	0.814111914242082
ME27	smoking_ever	0.0957326304431632	0.413915397563545
ME44	smoking_ever	-0.0260053432950722	0.824728326093732
ME62	smoking_ever	-0.237499463803778	0.0401972673362171
ME80	smoking_ever	-0.155895797535079	0.181678973334328
ME84	smoking_ever	-0.18767185308131	0.10688592993263
ME48	smoking_ever	-0.185766410990748	0.110558828559123
ME58	smoking_ever	-0.177745577476646	0.127098529499943
ME46	smoking_ever	-0.0783900058108722	0.503811417688968
ME43	smoking_ever	-0.144834384498686	0.215055115499085
ME28	smoking_ever	-0.227162047759313	0.0500023869983081
ME71	smoking_ever	-0.0824267228482883	0.482028018185615
ME36	smoking_ever	0.102293062130704	0.382500365707069
ME41	smoking_ever	0.10984685917651	0.348158713354935
ME18	smoking_ever	-0.0724742358879765	0.536630181646673
ME54	smoking_ever	-0.122994161474615	0.293135495495856
ME37	smoking_ever	-0.161869812167538	0.165302265568818
ME52	smoking_ever	-0.143036941158315	0.220862833936171
ME23	smoking_ever	-0.103143979953518	0.378533328073479
ME83	smoking_ever	-0.166892209814433	0.152398185139828
ME6	smoking_ever	-0.139534213397521	0.232494895567912
ME67	smoking_ever	0.0456339442924531	0.697448952988152
ME4	smoking_ever	-0.149900358583798	0.199268724408306
ME1	smoking_ever	-0.114436735718411	0.328261333109782
ME72	smoking_ever	-0.16800822798865	0.149635624731988
ME35	smoking_ever	-0.149596113405618	0.200192727500252
ME17	smoking_ever	0.0719179766995863	0.539769395899857
ME7	smoking_ever	-0.264788919407249	0.0216892366809936
