	logFC	logCPM	PValue	FDR
ENSG00000227232	0.14653888404659	1.45280987652835	0.292249750960378	0.352549405334957
ENSG00000268903	0.695258338723739	2.28131696196568	0.00528854985240564	0.00947993914383661
ENSG00000269981	0.691173865959027	2.13717181826892	0.0030669526506602	0.005742032786497
ENSG00000279457	0.437593132966991	2.70112590126108	0.000691306704160004	0.00146232077286199
ENSG00000228463	1.03303801216162	-0.918277383951603	0.00140008782309085	0.00279530553349951
ENSG00000237094	0.915971224503947	-0.639213870378418	0.000316649491934189	0.000712417028050837
ENSG00000225972	0.12011218745794	1.74858530786296	0.61334245165286	0.669206849405513
ENSG00000225630	0.307979132099112	7.12077420290171	0.104812066921781	0.142789204692232
ENSG00000237973	0.830365789880414	7.92588458973241	0.0122206060731642	0.0204293713409167
ENSG00000229344	0.269446672206941	3.2379332913335	0.31540102970485	0.376722235908243
ENSG00000248527	0.434581943630755	9.62945729109056	0.0130280082737586	0.0216172179905457
ENSG00000198744	0.513977059391633	3.4574446555496	0.0537813357593943	0.0784670821461596
ENSG00000228327	0.392050484674899	0.389517957127332	0.0212874187943199	0.0339291459980238
ENSG00000237491	1.70460555324351	1.31431332828327	1.37561426577759e-22	5.94294945918407e-21
ENSG00000228794	-0.678117709070763	4.26398531334818	3.04380396697812e-08	1.29521241035e-07
ENSG00000225880	1.3434254592111	0.206912902921448	1.51248186516501e-16	2.29835462854008e-15
ENSG00000230368	1.41681887194121	-1.2204307687569	0.00259885610834201	0.00493743336111998
ENSG00000234711	1.93166758073476	-2.28180130669929	0.000131597321609862	0.000316719611096265
ENSG00000272438	2.57931820255006	-1.95239738642902	4.70627335377673e-09	2.2683379415552e-08
ENSG00000230699	1.55564967999909	0.915036522220324	0.00200619077649601	0.00389168319183888
ENSG00000223764	0.0979979009505937	2.45410152095049	0.630092616640426	0.684508467212282
ENSG00000187634	-0.45295947181046	2.89699828778096	0.0267414768618401	0.0417606909730648
ENSG00000188976	0.403129588580502	5.98548650235692	2.42880022358972e-05	6.57487773772993e-05
ENSG00000187961	0.769969200205711	3.61223123391791	2.84834140165581e-08	1.21745383867795e-07
ENSG00000187583	2.53508901151142	2.31763074072853	2.28124214492669e-31	4.49292876955218e-29
ENSG00000187642	2.48461758895811	0.706199177994738	4.68733636108889e-19	1.07370467682913e-17
ENSG00000272512	-0.541391620708517	2.35818808844606	0.0277644385276495	0.0432037029885322
ENSG00000188290	-0.751629789807713	3.71655701870012	9.54405063659971e-05	0.000234561332565025
ENSG00000187608	0.861116577674136	5.19290354373994	4.35335667445033e-05	0.000113048839494613
ENSG00000188157	0.118079956479233	8.14750221941052	0.290778479859703	0.351175236377395
ENSG00000217801	1.60135534382074	1.86624016832493	4.25936307686405e-14	4.41746746779153e-13
ENSG00000237330	0.075884209538946	-0.218132410991193	0.747716632444584	0.790447793989331
ENSG00000131591	0.37402120157054	4.00962327592821	0.000692529837643652	0.00146459963242692
ENSG00000198976	1.73680627205441	-0.515595897917144	4.18129260426084e-07	1.50184135753614e-06
ENSG00000272141	2.07433396887545	2.42409661270684	3.97350088409184e-13	3.53202032126199e-12
ENSG00000205231	-0.700003113959267	0.0954801328761919	0.115828667754595	0.156051378614584
ENSG00000162571	-0.254291205914751	2.41030027621131	0.56903737412558	0.627960437750428
ENSG00000186891	1.10741877632501	2.48752601816724	7.45853264584371e-06	2.18992198658805e-05
ENSG00000186827	-0.37103760597216	2.45695412412129	0.0439327733256658	0.0654576491388638
ENSG00000078808	-0.0625407171825815	7.10008777880268	0.492672390379495	0.554843348488265
ENSG00000176022	-0.0106083292240924	4.38374256751203	0.925913973142027	0.940188324224129
ENSG00000184163	1.13885990315635	0.578947757571275	8.91829553426684e-06	2.58714280126912e-05
