	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000105974	-3.53911330105919	8.41139728522686	-15.3855622683491	3.63242310242203e-25	7.29717477045562e-21	46.8689282693241
ENSG00000197766	-3.08893107514142	6.43008406037815	-14.5594431052955	8.6434535578452e-24	6.35006975192161e-20	43.7398874821351
ENSG00000198873	-2.39040794427217	5.8241860078133	-14.4611052524831	1.26782038977899e-23	6.35006975192161e-20	43.3611601972713
ENSG00000107742	-2.99357516964947	7.10875880048039	-14.4084897220553	1.55701809217194e-23	6.35006975192161e-20	43.1581980163254
ENSG00000243566	-4.73750520036366	4.50445347402102	-14.4046627452294	1.5804842829214e-23	6.35006975192161e-20	43.0272244242009
ENSG00000183287	-3.59242960411205	4.27679955133747	-14.3171860426289	2.2259108253075e-23	7.45272042826706e-20	42.7324773960119
ENSG00000135604	-2.83567509022366	4.20750089195006	-14.2003505643345	3.52205770092308e-23	1.01078024505491e-19	42.3011516895712
ENSG00000135052	1.90835010460179	6.67638764506983	13.7611679360513	2.00739308877376e-22	4.0326519760376e-19	40.6240381704802
ENSG00000111961	-1.73301228714591	6.31203179608352	-13.553006210861	4.61914428020426e-22	7.13799918807872e-19	39.7962898539266
ENSG00000180440	-6.28646801854697	0.759965590719759	-14.0162533934243	7.28350708153977e-23	1.62575970845614e-19	39.7850140123483
ENSG00000182575	-2.83425360597715	2.77553275483383	-13.5898475093368	3.98413890869144e-22	6.66978054472519e-19	39.7813504214938
ENSG00000150625	-5.32685191116081	3.07114926582006	-13.5152385895835	5.37625395518195e-22	7.71454040754644e-19	39.3448391681226
ENSG00000105971	-2.45755495610383	7.02165846672335	-13.366773586712	9.78028863891468e-22	1.30984145644771e-18	39.0544038263926
ENSG00000253667	2.5080521006443	-0.827615271672909	13.6531493781517	3.09135915528457e-22	5.64566491550107e-19	38.92373243533
ENSG00000156218	-2.65986078665061	4.53037288662281	-13.263290120554	1.48658334554636e-21	1.68268873154448e-18	38.6385720633414
ENSG00000204305	-4.49053427124312	7.64513290453946	-13.2598079595812	1.50771054645829e-21	1.68268873154448e-18	38.6314045781216
ENSG00000267774	-4.80443208337988	-1.47784777423465	-14.029086422441	6.92283868232358e-23	1.62575970845614e-19	38.4509394851053
ENSG00000154133	-2.54502627546558	5.75838418125578	-13.1130960402756	2.73604459850194e-21	2.6653637684808e-18	38.0395807249739
ENSG00000165410	-1.26963983641932	5.38073909201631	-13.1086310889863	2.78623321907994e-21	2.6653637684808e-18	38.0175833037744
ENSG00000112782	-3.54327011332967	6.61938477208697	-13.0594011297416	3.40509287719324e-21	3.10931412772432e-18	37.8233682402286
ENSG00000276850	-3.46072511699118	1.94065209944466	-13.1440011225483	2.41273824419421e-21	2.55102624145355e-18	37.7971843923474
ENSG00000168497	-2.76174869359432	6.45413316404511	-13.0410259349134	3.6700874253797e-21	3.20558201254142e-18	37.7454917908914
ENSG00000172159	-2.23291209778889	3.16907149478771	-12.9912081805362	4.49786967967384e-21	3.76490433312365e-18	37.4894994765021
ENSG00000102547	-1.81903069848356	4.65447270634232	-12.9099043869209	6.27256318369107e-21	4.84652006912192e-18	37.2227553385002
ENSG00000140600	-4.58393212792112	-0.396508080704793	-13.3364327148852	1.10562054434342e-21	1.38817569470719e-18	37.0635000767116
ENSG00000092051	-2.23061815631933	1.37472971123536	-12.9212314047796	5.98827175785657e-21	4.81193565374323e-18	36.8941147390694
ENSG00000168477	-3.18828550430979	6.7787864434214	-12.7925655267824	1.01510492084702e-20	7.53032977954331e-18	36.7378924336393
ENSG00000159307	-3.31163299429026	3.70226866533603	-12.7844407179695	1.04957555790339e-20	7.53032977954331e-18	36.6723486580304
ENSG00000161835	-2.46738205521857	5.22713569079307	-12.7628337002495	1.14709373167443e-20	7.9461951640026e-18	36.624345519451
ENSG00000197852	-1.83342604593618	3.91263783543498	-12.7205714224019	1.36502216256219e-20	9.05646513774022e-18	36.4473901696839
ENSG00000177469	-2.13179042136915	8.41265554147272	-12.7148563452924	1.39753307416968e-20	9.05646513774022e-18	36.4246648774874
ENSG00000169744	-2.21020165096838	5.85769708774818	-12.6392653678756	1.90865815427158e-20	1.19821980191131e-17	36.1105994000267
ENSG00000163815	-3.56988666887833	4.2964735522852	-12.5165417690757	3.170464690057e-20	1.93004439874409e-17	35.6086722973277
ENSG00000160408	-1.12114421450598	6.33564287444457	-12.501848784248	3.36946587317991e-20	1.9908588213621e-17	35.5354759420535
ENSG00000165072	-3.36228555810965	4.91851550496529	-12.4816112106944	3.6643246943022e-20	2.10321767953819e-17	35.4786448406443
ENSG00000183010	2.34780403653438	3.8260663556103	12.4628400115157	3.96100660595599e-20	2.19307060795551e-17	35.4015939256272
ENSG00000022267	-3.3628619802514	7.21901796416992	-12.4581279230035	4.03920615731763e-20	2.19307060795551e-17	35.368635921106
ENSG00000189129	-2.66434218345354	3.90429601429901	-12.427887466663	4.57942956549782e-20	2.42095159319173e-17	35.2477325885375
ENSG00000130052	-1.88489379851339	4.99289002652117	-12.3759204196186	5.68331524048587e-20	2.92749025297745e-17	35.0391805037277
ENSG00000105538	-2.57399464895878	4.90589061727919	-12.3639154167805	5.97431005803485e-20	3.00044786889655e-17	34.9951363619037
ENSG00000146966	-2.09621297502988	4.72656246919397	-12.3468409427913	6.41421925502634e-20	3.14281099059083e-17	34.9242272910624
ENSG00000115306	-1.70828165906217	9.78079630849692	-12.3373944601279	6.67146547087919e-20	3.19102547248791e-17	34.8865880390773
ENSG00000059573	1.05691204135192	5.656513217648	12.2976900257967	7.87133004865689e-20	3.67737556622019e-17	34.6948151185044
ENSG00000070778	-1.79234222433286	5.70246578701868	-12.2690262996382	8.87055582832491e-20	3.9700908811693e-17	34.5845004694647
ENSG00000145247	2.00305116633187	4.91142305541923	12.2591584430629	9.24333032367549e-20	4.03672310591993e-17	34.5529691697636
ENSG00000136732	-1.99996979563481	5.26379822369524	-12.2399805929571	1.00135231904502e-19	4.28003547602031e-17	34.4742617687834
ENSG00000171121	1.91590530552689	1.44530596139355	12.2684169561839	8.8931300538911e-20	3.9700908811693e-17	34.4489838114087
ENSG00000137726	-1.81956383001265	4.34373461805592	-12.1949024377387	1.20881405349858e-19	5.01821660369813e-17	34.3002531455477
ENSG00000227051	-2.31941917156008	5.56686605515627	-12.191912329362	1.22401619583458e-19	5.01821660369813e-17	34.2728632491029
ENSG00000183722	-1.83161660258246	6.13669020808411	-12.0975950343834	1.81642821934068e-19	7.29804529966698e-17	33.8683762238483
ENSG00000120913	-1.72410322056281	5.41849955801904	-12.0589432047958	2.13598183612482e-19	8.41367433449246e-17	33.716818429644
